Date;Titre;Contenu_lemmatisé
1971-02-20;Retour des pèlerins de La Mecque;retour Mecque , soixante quatre nouveau El hadj , dont ministre mama chabi , être arriver cotonou hier fin matinée . avoir être accueillir nombreux parent ami habit fête , massé abord aérodrome , avoir être théâtre scène touchante explosions joie . premier rang personnalité être portée devant hadj , trouver chef état , venir aéroport accueillir mère sœur .
1971-04-09;Vente de charité à Zinvié;collectivité musulman zinvié prie tout fidèle tout personne désirent , bien vouloir participer vente charité dérouler zinvié dimanche 18 avril . manifestation revêtir caractère particulier . effet , être placer sous présidence imam Adam , patriarche 125 an , probablement homme plus âgé terre . avoir être nommer imam 1917 . tout celui connaître , imam Adam être saint . jusque ici , avoir jamais avoir reprocher moindre faute ni moindre écart conduite vie consacrer bien prière . malgré âge , demeurer toujours dynamique lia cause collectivité . celui pouvoir participer vente charité , être prié adresser don El hadj osséni yaya B. P. n° 1 zinvié El hadj Amadou aboudou , sériki zinvié . collectivité musulman zinvié compter générosité .
1971-04-14;Vente de charité à Zinvié;collectivité musulman zinvié prie tout fidèle tout personne désirent , bien vouloir participer vente charité dérouler zinvié dimanche 18 avril . manifestation revêtir caractère particulier . effet , être placer sous présidence imam Adam , patriarche 125 an , probablement homme plus âgé terre . avoir être nommer imam 1917 . tout celui connaître , imam Adam être saint . jusque ici , avoir jamais avoir reprocher moindre faute ni moindre écart conduite vie consacrer bien prière . malgré âge , demeurer toujours dynamique cause collectivité . celui pouvoir participer vente charité , être prié adresser don El hadj osséni yaya B. P. n° 1 zinvié El hadj Amadou aboudou , sériki zinvié . collectivité musulman zinvié compter générosité .
1971-05-18;Inauguration de la mosquée centrale de P.-Novo;autour majestueuse mosquée central porto-novo ambiance fête avoir régner pendant tout journée 16 mai . après multiple travail rénovation , mosquée dont construction être commencer depuis 1910 , avoir inaugurer dimanche dernier . éclat cérémonie avoir être rehaussé présence président ahomadégbé , membre conseil présidentiel , accompagnaient MM. chabi kao , mama chabi dossou-yovo , respectivement ministre Finances , Agriculture Education national , haut-commissaire Plan M. Ibrahim souradjou plusieurs autre personnalité . nombreux être également musulman , hadj hadja porto-novo ville voisin présent cérémonie . discours inaugural avoir prononcer , président honneur , El hadj fassassi adamon , comité organisation fête avoir retracé historique mosquée central . avril 1910 , mosquée trouver quartier akpassa être détruire transférer emplacement actuel autorité administratif dédommagèrent conséquence communauté islamique . 1910 1920 , dissension sein communauté islamique ralentirent travail . être 1925 , époque grand réconciliation , reprendre petit petit travail . , raison , inauguration mosquée central être placer sous signer concorde . mosquée central avoir être achever grâce effort conjugué tout musulman , riche , pauvre , vivre intérieur comme extérieur pays aussi grâce aide république arabe-unie Arabie séoudite . répondant allocution El hadj fassassi , président ahomadégbé avoir dire venir faire communauté musulman être démonstration évident homme effort édification . « venir donner exemple peuple dahoméen avoir poursuivre , être venir ici aujourd'hui prendre bon graine répandron travers tout dahomey » . M. ahomadégbé avoir ensuite remercier contribution secrétaire affaire islamique RAU représenter Arabie séoudite être venir témoigner sentiment fraternité . Arabie séoudite RAU venir offrir 2 200 livre anglaise ( environ 1,5 million CFA ) important lot ciment communauté islamique porto-novo . ( correspondre ouémé )
1971-10-11;Le départ du chef de l'Etat pour Téhéran;hier 10 heure . 30 président maga être envolé Téhéran , capitale état Iran apprête fêter 14 15 octobre prochain éclat 2500e anniversaire fondation . comme nombreux autre chef état , président maga être inviter Shah Iran . cinq continent être représenter : Afrique , Amérique , Europe comprendre plus fort délégation , Asie , Océanie . Trente souverain , dix chef état vingt -une haut personnalité divers gouvernement assisteront Persépolis grandiose cérémonie organiser responsable iranien marquer événement . président maga être embarquer bord DC8 UTA ( dérouté lomé circonstance ) être passer Abidjan , Paris Rome . départ cotonou , être accompagner M. Gabriel lozès , ministre travaiux public . deux autre membre délégation , MM. Michel ahouanmènou , ministre affaire étranger , chabi kao , ministre Finances , absent cotonou , joindront départ Paris Téhéran 13 octobre . répondant journaliste présent aéroport hier président maga avoir justement attirer attention composition délégation , contact pouvoir bien être prendre Téhéran homologue gouvernement irakien . voyage présidentiel être , selon chef état , occasion mieux connaître état Iran , pouvoir déboucher resserrement lien amitié pays , peut-être , pouvoir souhaiter tout cas , parlerait bientôt établir relation diplomatique entre Iran dahomey .
1972-01-05;Départ du Ier contingent de pèlerins pour la Mecque;premier contingent pèlerin lieu saint islam avoir quitter cotonou nuit djeddah via Caire . nombre 350 , futur « hadj » avoir être répartir deux avion « Charter » « egyptian Air Lines » , jour prochain , devoir assurer troisième vol soixantaine passager . délégation dahoméenne pèlerinage année , atteindra , laisser entendre milieu généralement bien informer , chiffre record 500 personne . effet , outre passager ie « egyptian Air Lines » plus 60 autre pèlerin quitter cotonou prochain jour bord avion compagnie multinationale Air Afrique , tandis autre rendront lagos prendre départ . aussi , face situation , gouvernement avoir être amener prendre mesure imposer afin faciliter tâche ressortissant être ainsi équipe médical veillera santé pèlerin avoir être sérieusement renforcer . dirigée Dr alimi bello , médecin chef IMS porto-novo , équipe comprendre quatre membre lieu deux année précédent . lieu choisir fonctionnaire , comme être jusque ici cas , être ministre gouvernement avoir désigner année représenter auprès autorité Séoudiennes défendre temps intérêt pèlerin . agir M. arouna mama ministre délégué présidence république être ailleurs parti nuit bord premier avion « egyptian Air Lines » .
1972-01-22;L'islam n'est pas hostile à la limitation des naissances;religion musulman , autoriser non planning familial ? soixante-neuf spécialiste , théologien , médecin , sociologue , démographe 23 pays musulman représenter divers école secte musulman être réunir 26 30 décembre dernier Rabat tenter répondre question . perspective remous pouvoir provoquer conclusion , particulièrement milieu religieux traditionaliste , congressiste être contenté , issue travail huit-clos , publier communiqué quelque peu ambigu , affirmer cependant « législation musulman laisser choix famille musulman avoir non enfant , seulement avoir recours moyen sûr légal » . debèT reste OUVERT déclaration presse , déléguer tunisien congrès avoir indiquer « congressiste avoir évité parler problème social rendre nécessaire adoption planification familial . bien congrès avoir ajouter , avoir refuser prendre résolution faveur planification familial , résultat être moins bon encourageant , mesure où ouvrir perspective nouveau discussion thème » . conférence sembler avoir conclure matière planification familial , avoir pourtant affirmer droit famille opérer sein , niveau individuel . pourquoi conférence Rabat image dirigeant pays islamique représenter être restée évasiver possibilité diffusion planification familial niveau national pays islam ? question effet poser plan religieux , juridique social . position islam plan religieux , contrairement opinion assez rependue certain théologien traditionaliste , islam dont commandement émanent Coran , être hostile utilisation moyen anti-conceptionnels ni limitation naissance . avortement seul être « haram » ( proscrit ) être condamner importer quel période grossesse , car « enfant forme sein mère avoir recevoir âge Dieu » . seul dérogation autorisé règle , être uniquement raison santé , lorsque seul avortement pouvoir sauver vie mère . être effet commander Coran : « tuez enfant crainte pauvreté , accorderon subsistance vôtre ... » être également dire : « celui , folie ignorance , tuer propre enfant , celui déclarent illicite Dieu avoir accorder subsistance tel être mensonge inventer contre Dieu voilà celui être perdant : être égaré être diriger » . contradiction surgit parmi ulémas , résulter peut-être interprétation différent certain article sunna ( compilation tradition dont autorité chez mohamétans être égal celui loi oral chez juif ) . article consacrer ç question émane prophète mohamet avoir dire ç nation : « mariez multipliez . pouvoir alors , grâce , rivaliser nombre autre nation , jour résurrection » . selon certain ulemas , propos prophète déterminer tout avenir nation musulman devoir grandir multiplication enfant infini . autre , règle présenter caractère circonstanciel devoir époque où islam devoir affirmer monde . certain article Coran admettent légitimité restriction volontaire naissance formulent comme condition faire avoir enfant , nécessité nourrir décemment éduquer correctement . être dire aussi sunna : « celui éduqueront convenablement enfant , être réserver place choix Paradis » . face toil coutif être fin compter tant religion monde musulman aujourd'hui heurter tabou sexuel coutume social . croyance populaire vouloir effet chaque enfant apporter fortune être envoyer Dieu . plus , falloir compter habitude esprit fatalisme dont faire preuve famille musulman . grand nombre enfant élevé , signifier richesse , particulièrement milieu rural où , jeune , constituer source main-d’œuvre , grand , garantie vieillesse parent . être pourquoi stérilité constituer femme musulman hantise permanent car , femme stérile , être femme déchue loi permettre répudiation . plus pluralité enfant famille constituer , selon tradition bien ancré monde musulman , signer prestige virilité père , fécondité mère . point vue juridique , loi musulman , presque tout pays islamique , prohibe ni encourager contrôle naissance famille , seul avortement illégal être punir code pénal . enIGENCES temie cependant , économiste , sociologue démographe musulman estimer texte religieux juridique applicable pays tiers-monde , devoir désormais répondre exigence 20e siècle . certain économiste penser aussi selon rythme actuel explosion démographique , très rare être pays voie développement être mesure garantir population besoin prioritaire , c'Est-à-dire : nourriture , éducation travail . voie salutaire conscient écart développement économique cesser creuser , entre pays islamique , initiative plusieurs organisme international spécialisé , tel PNUD BIRD , avoir opté politique démographique « raisonnée » considérer désormais comme seul voie salutaire pays . être ainsi tout pays islamique , être jadis sujet tabou étade désormais grand jour , politique planning familial être prônée officiellement . produit anti-conceptionnels être vente libre . intense propagande gouvernemental faveur contraception être engager , hôpital public , grâce crédit important affecté effet , placer gratuitement stérilet femme volontaire . certain pays , comme Tunisie être aller jusque autoriser avortement sous certain condition , notamment mère 4 enfant . politique planifier matière familial , avoir trouver davantage écho chez jeune , plus sensible parent conséquence dangereux fort poussée démographique économie nation voie développement plus ouvert domaine social religieux . toutefois , apparaître également œil jeune génération musulman , seul planification familial où politique limitation naissance , constituer remède maladie sous-développement industrialisation , évolution agriculture formation professionnel exemple , être encore plus impérieuse nécessité avenir . Mohamed BAILANE
1972-01-28;Les musulmans ont célébré la tabaski avec ferveur;communauté musulman dahomey avoir célébrer hier tabaski . celui-ci être appeler communément fête mouton « laya » . effet , être rite lequel être soumettre tout musulman sacrifier mouton , jour commémorer sacrifice patriarche Abraham . journée fériée tout monde , jeudi tabaski avoir commencer musulman prière public ( grand prière dire ferveur intention divers particulier paix bonheur pays . conseil présidentiel gouvernement être représenter cérémonie être dérouler occasion cotonou porto-novo grand prière avoir être suivre après-midi réjouissance habituel .
1972-02-07;Le billet du jour : Salam'Akaïk;"méchante lange prétendre , semaine dernier , cours contrôle inopiné bagage pèlerin provenance Mecque débarquant seul avion niamey , douanier nigérien avoir faire recette près million demi franc CFA droit taxe marchandise officiellement importé comme « cadeau souvenir » , destiner faire être vendre . alla merci , musulman être étoffe celui Niger . contrebande , tâtent point . lorsque faire commerce , faire commerce ; lorsque accomplissent acte dévotion , tout autour respirer piété . tout cas , jamais venir idée prendre alibi voyage Mecque prescrit ecriture saint trafiquer , aller , noix cola autre bagatelle rade djeddah , retour , frivolité genre montre , poste radio mallette dont nom terminer « phone » . non , musulman mettre point honneur discerner spirituel mercantile temporel : sacrifient autel Mercure Mahomet . sans doute arriver certain entre manifester zèle insolite entreprendre , plusieurs année suite , voyage lieux saint lequel tout croire être tenir fois vie avoir force : infidèle , grâce avoir jamais effleuré aile , pouvoir comprendre enthousiasme plonger racine désir mystique retremper , source islam , foi celui femme enfant emmener . si aventure douanier avoir fouillé hadjs dahoméen retour cotonou , avoir être peine ; car , croire avoir découvrir colis pansus débarqué avion ? wallaï! rien autre , part , bouilloire , peau mouton , chapelet gros grain buis turban , rien autre beaucoup , beaucoup , beaucoup vertu dont parfum exale puissante bouffée myrrhe , encens musc . hont pèlerin nigérien ! gloire paix nôtre ! cayode ."
1972-04-27;Football : jeunesse musulmane de Cotonou bat son homologue de Porto-Novo 4-1;issue match amical avoir avoir lieu hier stade René pleven cotonou occasion fête « mouloud » Jeunesse musulman cotonou avoir battre homologue porto-novo score écrasant 4 but 1 . mi-temps , jeune musulman cotonois mener score 3 but 1 . bien avoir aligner meilleur élément divers club ( Etoile , asso-porto-novo , postelsport ) , équipe porto-novienne na résister 90 minute devant adversaire cotonou comprendre jeune turc décider remporter victoire . être ainsi ailier gauche saïbou mouftaou passer intérieur , ouvrit score 9e minute jeu . Quatre minute plus tard , avant-centre équine porto-novo , infatigable maroufou adéchokan égalisa . équilibre être court durée , car cotonois devoir aggraver rapidement score : 3-1 . second but être marquer saïbou mouftaou troisième pénaltyr transformer défenseur kamilou . reprise , supporter équipe porto-novienne penser situation aller changer faveur . hélas , malgré bon volonté , jeune musulman porto-novo avoir réussir infilter défense cotonoise . contre adversaire avoir faillir infliger défaite plus cuisante , grâce assaut répété dangereux . seul conclusion pouvoir tirer rencontrer , être match être niveau technique moyen . Souhaitons jeune musulman fournir meilleur spectacle prochain fois .
1972-09-22;Le prochain voyage à la Mecque à l'ordre du jour de M. Arouna;"comité organisation pélérinage Mecque être réunir mardi dernier ministère intérieur sécurité , sous présidence M. marna arouna , ministre délégué présidence conseil présidentiel charger administration territorial sécurité . ordre jour porter : — conception modalité voyage organisation matériel pélérinage ; agir premier point , formule an dernier avoir être retenir quelque léger modification . suite débat deuxième point , comité avoir proposer : — équipe encadreur être renforcer mesure possible ; — chaque infirmier être muni trousse urgence ; prochain réunion dudit comité être fixer mardi 26 septembre 1972 16 heure lieu ."
1972-11-04;Tribune libre : l'islam et le crime;"« versez point sang humain si être justice . Dieu défendre » — ( koran : chapitre « voyage nocturne » , verset 35 ) . pays avoir connaître récemment certain recrudescence disparition enfant . plusieurs reprise , être article information , être commentaire , « voix progrès » « Daho-Express » être faire largement écho point provoquer opinion public début panique ministre intérieur tenter apaiser allocution radiodiffusée . dire réaction population dahoméenne si être , quel justifier . effet , être père , ni mère pouvoir rester indifférent disparition répétée enfant , doutant phénomène rattacher , selon rumeur , pratique occulte , destiner procurer fortune . tuer enfant enrichir : quoi plus abominanable plus révoltant ! néanmoins , être chose intrigue : être faciliter lequel situation avoir être exploiter blasphèmer tout Religion islam . être ainsi radio-dahomey editorial 22 août 1972 , reprendre « Daho-Express » organe Presse état , avoir affirmer : « homme rue être persuadé mode enrichissement spectaculaire être faire exclusif croyant certain Religion parfois hésiteraient sacrifier propre progéniture ; hasard avoir vouloir personne suspectée assassinat mère police lui-même , être précisément adepte Religion » . certes , être faire « el-hadja » avoir être suspectée assassinat gosse avoir quelque semaine cotonou . être également exact « el-hadj » , gros commerçant porto-novo avoir être cité comme témoin procès deux individu accuser tentative traiter homme . aujourd'hui pauvre el-hadja cotonou être plein liberté , parce reconnaître innocent coreligionnaire porto-novo hors cause . admettre deux fidèle islam avoir effectivement commettre crime question , être faire preuve dune légèreté coupable — moins viser but précis , rapprocher cas particulier dune « certain Religion » , quand bien plairait ailleurs reconnaître celui-ci caractère respectable . comme dire vautre , être effet honnête accuser , être insinuation , tout communauté maladresse faute pouvoir commettre quelque individu . être Havre criminalité — Dieu merci — dahomey avoir moins connaître cas crime plus odieux celui préoccuper aujourd'hui . avion connaître , passer récent , certain Dame taigla certain gbikpl , tout deux catholique . pourtant , être venir idée personne , rapprocher Religion crime dont être trister vedette . cause , christianisme prescrit Dix commandements , « tuera point » ? christianisme , islam interdire crime . verset cité prologue être preuve irréfutable , être ailleurs seul koran consacrer sujet . ainsi verset 27 chapitre « Abeilles » , pouvoir lire : « Dieu commander justice , bienveillance libéralité envers parent . défendre crime , injustice , calomnie . exhort afin réfléchissiez » . quand savoir islam être essence Religion soumission volonté divin , convenir tout musulman écarter voie tracer Dieu prophète MUHAMED ( Paix famille ) cesser être fidèle . — être cas éventuel criminel sujet desquels , koran être catégorique « celui , jour jugement dernier , apporter — crime , être précipité feu » . ( verset 92 chapitre « fourmis » ) . aussi , voudrion conclusion , attirer attention tout faire aucun rapprochement être possible entre crime quel être islam . certes , manque exemple musulman criminel . celui-ci , tout comme taigla gbikpl . devoir être considérer comme brebis galeur dont forfait pouvoir engager seul non Religion . « jeni-re MUSULMANE »"
1972-11-06;A l'occasion du Ramadan : le Pape envoie un message d'amitié aux musulmans;Beyrouth . — occasion fin jeûne ramadan fête fitr , Pape Paul VI avoir adresser musulman Liban monde entier message « amitié » . « appréhension demain malheur aujourd'hui invitent » chrétien musulman « regarder face parler sans détours , sans . préjugé traînon appartenir passer révolu » , avoir souligner . « penser , demander Paul VI , heure être venir fidèle tout religion , plus spécialement chrétien musulman , faire appel foi commune Dieu ? » . « avoir peur affirmer , ajouter , falloir rendre parole grand message religieux humanité . avoir tout apprendre profiter . autre . être plus temps où religion excommuniaient mutuellement » . « contraire , affirmer Saint-Père , devoir chercher rencontrer mettre commun valeur propre , aider homme triompher idoles moderne être argent , puissance jouissance » . « bon volonté manquer point , ni parmi musulman , ni parmi chrétien , déclarer Paul VI ... pourquoi alors mettre davantage recherche autre porter témoignage société humain plus justice , respect amour ? » . « puisque partageons foi Dieu , conclure Pape , demandons -lui rendre chaque jour plus proche ensemble , suivant moyen , collaborion plus vérité , justice paix monde » .
1972-11-09;La fête de Ramadan au Dahomey;musulman dahomey avoir fêté hier allégresse ramadan marque fin jeûne . prière avoir être dire tout pays , moins partout où avoir communauté musulman . gouvernement être représenter office religieux porto-novo cotonou . être ainsi part , noter présence chef escadron ohouens , garde Sceaux , ministre Justice , capitaine béhéton , ministre dès ptt transports , capitaine Djibril moriba , ministre santé affaire social . cotonou autre part , falloir signaler présence chef bataillon Pierre koffi , ministre Information tourisme , capitaine André achadé marna djougou respectivement ministre travaiux public , développement rural coopération . autorité préfectorale délégué gouvernement deux ville autre personnalité assister également prière dont certain être axée paix prospérité dahomey .
1972-11-11;Réunion sur l'organisation du pèlerinage à la Mecque;ministre intérieur sécurité , capitaine Michel aïkpé , entourer collaborateur avoir présider réunion hebdomadaire responsable communauté musulman charger organisation pélérinage Mecque . après tour horizon détailler cours lequel porte-parole groupe avoir exposer franchise point vue , ministre intérieur sécurité avoir dire interlocuteur tout intérêt gouvernement militaire révolutionnaire porter ensemble communauté religieux pays . agir plus particulièrement communauté musulman , capitaine Michel aïkpé avoir dire qualité ministre tutelle culte , souhaiter plus cohésion sein comité national charger orienter préparatif pélérinage Mecque . compte tenir compréhension manifestée partie présence , ministre intérieur sécurité avoir prescrit réunion niveau exclusif responsable musulman actuel afin harmoniser , mieux intérêt autre , modalité participation organisation voyage lieux Saints islam . délégation réduire devoir rendre compter plus tôt possible , ministre intérieur sécurité , conclusion lequel réunion avoir abouti . terminer , ministre intérieur sécurité , capitaine Michel aïkpé avoir confirmer participant volonté gouvernement militaire révolutionnaire assurer fidèle surtout moins nanti majoritaire , meilleur condition sécurité voyage Mecque .
1972-11-14;Visite de Musulmans soviétiques au Dahomey;répondant invitation communauté musulman dahomey , délégation musulman URSS , être arrivée samedi dernier cotonou venir Moscou Via lagos , visite amitié semaine pays . délégation composer cinq membre , être conduite El hadj ismail sattev originaire république socialiste soviétique Tadjikistan Asie central . celui-ci avoir déclarer but visite être faire mieux connaître ici resserrer lien amitié entre communauté musulman deux pays . « ordre idée , avoir poursuivre , délégation discutera homologue dahoméenne connaître , part besoin communauté musulman dahomey , voir autre part , quel mesure , apporter assistance » . délégation soviétique avoir être accueillie aéroport El hadj karim da Silva , représenter conseil Imans djamiou dahomey , El hadj lawani karim , sériki cotonou , ainsi responsable union Jeunesse musulmane dahomey . ambassade URSS être représenter quant , premier secrétaire M. nicolai kin .
