o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:description,dcterms:date,dcterms:identifier,dcterms:relation,dcterms:alternative,dcterms:isPartOf,dcterms:spatial,bibo:citedBy,foaf:gender,foaf:firstName,foaf:lastName,foaf:birthday
3565,https://islam.zmo.de/s/westafrica/item/3565,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Alpha Barry","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q25115075 Q25115075",,,Politician,"Burkina Faso",,Male,Alpha,Barry,1970-01-01
3566,https://islam.zmo.de/s/westafrica/item/3566,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Aminata Sawadogo","Burkinabè Muslim preacher|Prédicatrice musulmane burkinabè",,"https://www.wikidata.org/wiki/Q112065611 Q112065611",,,"Ittihad Islami|Preacher","Burkina Faso",,Female,Aminata,Sawadogo,
3567,https://islam.zmo.de/s/westafrica/item/3567,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Anselme Titianma Sanon","Archbishop Emeritus of Bobo-Dioulasso admitted to retirement in 2010|Archevêque émérite de Bobo-Dioulasso admis à la retraite en 2010",,"https://www.wikidata.org/wiki/Q569630 Q569630",,,Bishop,"Burkina Faso",,Male,"Anselme Titianma",Sanon,1937-09-01
3568,https://islam.zmo.de/s/westafrica/item/3568,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Bognessan Arsène Yé","Burkinabè politician|homme politique burkinabè",,"https://www.wikidata.org/wiki/Q4937668 Q4937668",,,"Congress for Democracy and Progress|Politician","Burkina Faso",,Male,"Bognessan Arsène",Yé,1957-10-10
3569,https://islam.zmo.de/s/westafrica/item/3569,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Assimi Kouanda","Burkinabè historian and politician|Historien et politicien burkinabè",2021-06-01,"https://www.wikidata.org/wiki/Q113527627 Q113527627",,"Kouanda, Assimi","Researcher|Congress for Democracy and Progress|Politician","Burkina Faso",,Male,Assimi,Kouanda,1957-12-31
3570,https://islam.zmo.de/s/westafrica/item/3570,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Augustin Loada",,,"https://www.wikidata.org/wiki/Q113527632 Q113527632",,,Researcher|Politician,"Burkina Faso",,Male,Augustin,Loada,
3571,https://islam.zmo.de/s/westafrica/item/3571,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Bénéwendé Stanislas Sankara","Burkinabè politician|homme politique burkinabè",,"https://www.wikidata.org/wiki/Q722327 Q722327",,,Politician,"Burkina Faso",,Male,"Bénéwendé Stanislas",Sankara,1959-02-23
3572,https://islam.zmo.de/s/westafrica/item/3572,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,10509,https://islam.zmo.de/files/original/98bb35bf0fe4449cea92aea91185b0c4d893d53a.jpeg,"Blaise Compaoré","President of Burkina Faso from 1987 to 2014|Président du Burkina Faso de 1987 à 2014",,"https://www.wikidata.org/wiki/Q57324 Q57324","2014 Burkinabè uprising",,"Congress for Democracy and Progress|Military personnel|Politician","Burkina Faso",,Male,Blaise,Compaoré,1951-02-03
3573,https://islam.zmo.de/s/westafrica/item/3573,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Christophe Joseph Marie Dabiré","Burkinabè economist and statesman|Économiste et homme d'État burkinabè",,"https://www.wikidata.org/wiki/Q60813372 Q60813372",,,"Congress for Democracy and Progress|Politician","Burkina Faso",,Male,"Christophe Joseph Marie",Dabiré,1948-08-27
3574,https://islam.zmo.de/s/westafrica/item/3574,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Clément Sawadogo","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q1103939 Q1103939",,"Clement P. Sawadogo","Congress for Democracy and Progress|Politician","Burkina Faso",,Male,Clément,Sawadogo,1960-12-01
3575,https://islam.zmo.de/s/westafrica/item/3575,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Djibril Bassolé","Burkinabé politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q1232182 Q1232182",,,Politician,"Burkina Faso",,Male,Djibril,Bassolé,1957-11-30
3576,https://islam.zmo.de/s/westafrica/item/3576,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"François Compaoré","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q3084305 Q3084305",,,"Congress for Democracy and Progress|Politician","Burkina Faso",,Male,François,Compaoré,1954-01-11
3577,https://islam.zmo.de/s/westafrica/item/3577,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"François Kaboré","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q16300467 Q16300467",,,Politician,"Burkina Faso",,Male,François,Kaboré,1960-05-05
3578,https://islam.zmo.de/s/westafrica/item/3578,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Gérard Kango Ouédraogo","Burkinabè politician|Homme politique burkinabè",2014-07-01,"https://www.wikidata.org/wiki/Q605414 Q605414",,,Politician,"Burkina Faso",,Male,"Gérard Kango",Ouédraogo,1925-09-19
3579,https://islam.zmo.de/s/westafrica/item/3579,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Gilbert Diendéré","Burkinabè military officer|Officier général burkinabè",,"https://www.wikidata.org/wiki/Q20978710 Q20978710",,,"Military personnel|Régiment de Sécurité Présidentielle","Burkina Faso",,Male,Gilbert,Diendéré,1960
3580,https://islam.zmo.de/s/westafrica/item/3580,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Gilbert Noël Ouédraogo","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q1524043 Q1524043",,,Politician,"Burkina Faso",,Male,"Gilbert Noël",Ouédraogo,1968-12-25
3581,https://islam.zmo.de/s/westafrica/item/3581,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Rosine Sori-Coulibaly","Burkinabè politician|Femme politique burkinabè",,"https://www.wikidata.org/wiki/Q21979800 Q21979800",,,Politician,"Burkina Faso",,Female,Rosine,Sori-Coulibaly,1958
3582,https://islam.zmo.de/s/westafrica/item/3582,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Hani Ramadan","Swiss imam originally from Egypt|Imam suisse originaire d'Égypte",,"https://www.wikidata.org/wiki/Q3126773 Q3126773",,,Imam,Switzerland,,Male,Hani,Ramadan,1959-06-02
3583,https://islam.zmo.de/s/westafrica/item/3583,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Hélène Marie Laurence Ilboudo-Marchal","Burkinabè politician|Femme politique burkinabè",,"https://www.wikidata.org/wiki/Q86735870 Q86735870",,"Laurence Ilboudo-Marchal","Mouvement du Peuple pour le Progrès|Politician","Burkina Faso",,Female,"Hélène Marie Laurence",Ilboudo-Marchal,1971-05-25
3584,https://islam.zmo.de/s/westafrica/item/3584,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Ibrahim Malam Dicko","Burkinabè jihadist|Djihadiste burkinabè",2017-05,"https://www.wikidata.org/wiki/Q30726938 Q30726938",,,"Ansar ul Islam","Burkina Faso",,Male,Ibrahim,Dicko,1970
3585,https://islam.zmo.de/s/westafrica/item/3585,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Issa Cissé","Burkinabè historian|Historien burkinabè",,"https://www.wikidata.org/wiki/Q113524851 Q113524851",,"Cissé, Issa",Researcher,"Burkina Faso",,Male,Issa,Cissé,
3586,https://islam.zmo.de/s/westafrica/item/3586,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Iyad Ag Ghaly","Malian Tuareg militant|Chef de guerre touareg",,"https://www.wikidata.org/wiki/Q25520 Q25520",,,,Mali,,Male,,,1954
3587,https://islam.zmo.de/s/westafrica/item/3587,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Joseph Issoufou Conombo","Burkinabè politician|Homme politique burkinabè",2008-12-20,"https://www.wikidata.org/wiki/Q619468 Q619468",,"Joseph Conombo",Politician,"Burkina Faso",,Male,"Joseph Issoufou",Conombo,1917-02-09
3588,https://islam.zmo.de/s/westafrica/item/3588,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Luc-Adolphe Tiao","Burkinabe diplomat and statesman|diplomate et homme d'État burkinabé",,"https://www.wikidata.org/wiki/Q57882 Q57882",,,"Congress for Democracy and Progress|Politician","Burkina Faso",,Male,Luc-Adolphe,Tiao,1954-06-04
3589,https://islam.zmo.de/s/westafrica/item/3589,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Mamadou Philippe Karambiri","Burkinabè pastor|Pasteur burkinabè",,"https://www.wikidata.org/wiki/Q17350757 Q17350757",,"Mamadou Karambiri","Fédération des Églises et Missions Évangéliques|Pastor","Burkina Faso",,Male,"Mamadou Philippe",Karambiri,1947-03-07
3590,https://islam.zmo.de/s/westafrica/item/3590,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Maurice Yaméogo","First President of the Republic of Upper Volta from 1959 until 1966|Premier président de la République de Haute-Volta de 1959 à 1966",1993-09-15,"https://www.wikidata.org/wiki/Q442765 Q442765",,,Politician,"Burkina Faso",,Male,Maurice,Yaméogo,1921-12-31
3591,https://islam.zmo.de/s/westafrica/item/3591,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Michel Kafando","Burkinabè diplomat who served as the transitional President of Burkina Faso from 2014 to 2015|Diplomate burkinabè qui a été président de transition du Burkina Faso de 2014 à 2015",,"https://www.wikidata.org/wiki/Q16105972 Q16105972","Conseil national de la transition",,Politician,"Burkina Faso",,Male,Michel,Kafando,1942-08-18
3592,https://islam.zmo.de/s/westafrica/item/3592,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Mohammed VI","King of Morocco|Roi du Maroc",,"https://www.wikidata.org/wiki/Q57553 Q57553",,,Politician,Morocco,,Male,,,1963-08-21
3593,https://islam.zmo.de/s/westafrica/item/3593,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,10508,https://islam.zmo.de/files/original/1c26b1f6b29a8796881b5abab7692b79cea99b72.jpg,"Muammar Gaddafi|Mouammar Kadhafi","Libyan revolutionary, politician and political theorist|Révolutionnaire, homme politique et théoricien politique libyen",2011-10-20,"https://www.wikidata.org/wiki/Q19878 Q19878","Institut de la Langue Arabe et de la Culture Islamique",,Politician,Libya,,Male,Mouammar,Kadhafi,1942-06-07
3594,https://islam.zmo.de/s/westafrica/item/3594,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Norbert Zongo","Editor of l'Independent in Burkina Faso|Journaliste de l'Indépendant",1998-12-13,"https://www.wikidata.org/wiki/Q339733 Q339733","Assassination of Norbert Zongo",,Journalist,"Burkina Faso",,Male,Norbert,Zongo,1949-07-31
3595,https://islam.zmo.de/s/westafrica/item/3595,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Oumarou Kanazoé","Burkinabè entrepreneur and former president of the CMHV/CMBF and FAIB|Entrepreneur burkinabè et ancien président de la CMHV/CMBF (1977-1982) et de la FAIB",2011-10-19,"https://www.wikidata.org/wiki/Q2041704 Q2041704",,,"Communauté Musulmane de Haute-Volta|Communauté Musulmane du Burkina Faso|Fédération des Associations Islamiques du Burkina","Burkina Faso",,Male,Oumarou,Kanazoé,1927-12-31
3596,https://islam.zmo.de/s/westafrica/item/3596,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Paul Kaba Thieba","Burkinabè politician and economist|Économiste et homme politique burkinabè",,"https://www.wikidata.org/wiki/Q22043905 Q22043905",,,"Mouvement du Peuple pour le Progrès|Politician","Burkina Faso",,Male,"Paul Kaba",Thieba,1960-07-28
3597,https://islam.zmo.de/s/westafrica/item/3597,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Paul Zoungrana","Burkinabè Cardinal|Cardinal burkinabè",2000-06-04,"https://www.wikidata.org/wiki/Q958211 Q958211",,,Bishop,"Burkina Faso",,Male,Paul,Zoungrana,1917-09-03
3598,https://islam.zmo.de/s/westafrica/item/3598,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Roch Marc Christian Kaboré","Former President of Burkina Faso ousted in a coup d'État on 23 Jan 2022|Ancien président du Burkina Faso, chassé par un coup d'État le 23 janvier 2022",,"https://www.wikidata.org/wiki/Q599988 Q599988",,,"Congress for Democracy and Progress|Mouvement du Peuple pour le Progrès|Politician","Burkina Faso",,Male,"Roch Marc Christian",Kaboré,1957-04-25
3599,https://islam.zmo.de/s/westafrica/item/3599,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Roger Garaudy","French philosopher and politician|Philosophe et politicien français",2012-06-13,"https://www.wikidata.org/wiki/Q160619 Q160619",,,,France,,Male,Roger,Garaudy,1913-07-17
3600,https://islam.zmo.de/s/westafrica/item/3600,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Salif Diallo","Burkinabè politician|Homme politique burkinabè",2017-08-19,"https://www.wikidata.org/wiki/Q16188989 Q16188989",,,"Congress for Democracy and Progress|Mouvement du Peuple pour le Progrès|Politician","Burkina Faso",,Male,Salif,Diallo,1957-05-09
3601,https://islam.zmo.de/s/westafrica/item/3601,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Salif Tiemtoré","Politician of Burkina Faso|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q63869841 Q63869841",,,Politician,"Burkina Faso",,Male,Salif,Tiemtoré,
3602,https://islam.zmo.de/s/westafrica/item/3602,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Saye Zerbo","Burkinabè military officer who was the third President of the Republic of Upper Volta from 25 November 1980 until 7 November 1982|Militaire et homme d'État burkinabè, chef de l'Etat de la Haute-Volta du 25 novembre 1980 au 7 novembre 1982",2013-09-19,"https://www.wikidata.org/wiki/Q557941 Q557941",,,"Comité Militaire de Redressement pour le Progrès National|Military personnel|Politician","Burkina Faso",,Male,Saye,Zerbo,1932-08-27
3603,https://islam.zmo.de/s/westafrica/item/3603,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Seydou Bouda","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q7459009 Q7459009",,,Politician,"Burkina Faso",,Male,Seydou,Bouda,1959-12-31
3604,https://islam.zmo.de/s/westafrica/item/3604,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Siméon Sawadogo","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q88312064 Q88312064",,,Politician,"Burkina Faso",,Male,Siméon,Sawadogo,
3605,https://islam.zmo.de/s/westafrica/item/3605,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,10510,https://islam.zmo.de/files/original/2f15e1d6db50b6233ac707c3ba8993b1d480a814.jpg,"Simon Compaoré","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q2287427 Q2287427",,,"Congress for Democracy and Progress|Politician","Burkina Faso",,Male,Simon,Compaoré,1952-09-19
3606,https://islam.zmo.de/s/westafrica/item/3606,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Tariq Ramadan","Swiss Muslim scholar|Islamologue suisse",,"https://www.wikidata.org/wiki/Q122988 Q122988","Colloque International des Musulmans de l'Espace Francophone",,Researcher|Preacher,Switzerland,,Male,Tariq,Ramadan,1962-08-26
3607,https://islam.zmo.de/s/westafrica/item/3607,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Tertius Zongo","Prime Minister of Burkina Faso from June 2007 to April 2011|Homme d'État burkinabè, Premier ministre du 4 juin 2007 au 18 avril 2011",,"https://www.wikidata.org/wiki/Q354710 Q354710",,,Politician,"Burkina Faso",,Male,Tertius,Zongo,1957-05-18
3608,https://islam.zmo.de/s/westafrica/item/3608,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Thomas Sankara","President of Burkina Faso from 1983 to 1987|Président du Burkina Faso de 1983 à 1987",1987-10-15,"https://www.wikidata.org/wiki/Q202155 Q202155",,,"Military personnel|Politician","Burkina Faso",,Male,Thomas,Sankara,1949-12-21
3609,https://islam.zmo.de/s/westafrica/item/3609,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Toumani Triandé","Former president of the CMHV/CMBF (1981-1983; 1985-1997)|Ancien président de la CMHV/CMBF (1981-1983; 1985-1997)",2001-09-30,"https://www.wikidata.org/wiki/Q113576426 Q113576426",,,"Communauté Musulmane de Haute-Volta|Communauté Musulmane du Burkina Faso","Burkina Faso",,Male,Toumani,Triandé,1928
3610,https://islam.zmo.de/s/westafrica/item/3610,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Vincent Dabilgou","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q89000319 Q89000319",,,Politician,"Burkina Faso",,Male,Vincent,Dabilgou,
3611,https://islam.zmo.de/s/westafrica/item/3611,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,10511,https://islam.zmo.de/files/original/39da95d3e2205f7d6376c3b35189b84d856ea851.jpg,"Yacouba Isaac Zida","Burkinabè military officer and politician|Officier et homme d'État burkinabè",,"https://www.wikidata.org/wiki/Q18402168 Q18402168",,,"Military personnel|Politician","Burkina Faso",,Male,"Yacouba Isaac",Zida,1965-11-16
3612,https://islam.zmo.de/s/westafrica/item/3612,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Yéro Boly","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q8062562 Q8062562",,,"Commission Nationale d'Organisation du Pèlerinage à La Mecque|Politician","Burkina Faso",,Male,Yéro,Boly,1955-12-31
3613,https://islam.zmo.de/s/westafrica/item/3613,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Zéphirin Diabré","Burkinabé businessperson and politician|Homme d'affaires et homme politique du Burkina Faso",,"https://www.wikidata.org/wiki/Q3576507 Q3576507",,,"Politician|Union pour le Progrès et le Changement","Burkina Faso",,Male,Zéphirin,Diabré,1959-08-26
3616,https://islam.zmo.de/s/westafrica/item/3616,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Malick Zoromé","Burkinabè politician|Homme politique burkinabè",2012-03-30,"https://www.wikidata.org/wiki/Q16335573 Q16335573",,,"Comité Culturel et de la Jeunesse Musulmane|Communauté Musulmane de Haute-Volta|Communauté Musulmane du Burkina Faso|Politician","Burkina Faso",,Male,Malick,Zoromé,1935
3646,https://islam.zmo.de/s/westafrica/item/3646,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abass Nabi",,,,,,"Ligue Nationale des Jeunes Musulmanes du Burkina","Burkina Faso",,Male,Abass,Nabi,
3647,https://islam.zmo.de/s/westafrica/item/3647,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdel Aziz Nabaloum",,,,,,Journalist,"Burkina Faso",,Male,"Abdel Aziz",Nabaloum,
3648,https://islam.zmo.de/s/westafrica/item/3648,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdou Rasmané Sana","Former president of the CMBF|Ancien président de la CMBF",,,,"Abdramane Sana","Communauté Musulmane du Burkina Faso","Burkina Faso",,Male,"Abdou Rasmané",Sana,
3649,https://islam.zmo.de/s/westafrica/item/3649,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Aziz Aguib Soré","Sheikh and spiritual guide from Burkina Faso|Cheick et guide spirituel burkinabè",,,,,Imam,"Burkina Faso",,Male,"Abdoul Aziz Aguib",Soré,
3650,https://islam.zmo.de/s/westafrica/item/3650,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Aziz Compaoré",,,,,,"Fédération Mondiale pour la Réconciliation Sociale et la Paix","Burkina Faso",,Male,"Abdoul Aziz",Compaoré,
3651,https://islam.zmo.de/s/westafrica/item/3651,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Aziz Ouédraogo",,,,,,Imam,"Burkina Faso",,Male,"Abdoul Aziz",Ouédraogo,
3652,https://islam.zmo.de/s/westafrica/item/3652,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Hamid Zoungrana",,,,,,Imam,"Burkina Faso",,Male,"Abdoul Hamid",Zoungrana,
3653,https://islam.zmo.de/s/westafrica/item/3653,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Karim Ouédraogo",,,,,,,"Burkina Faso",,Male,"Abdoul Karim",Ouédraogo,
3654,https://islam.zmo.de/s/westafrica/item/3654,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Karim Sango",,,,,,Politician,"Burkina Faso",,Male,"Abdoul Karim",Sango,
3655,https://islam.zmo.de/s/westafrica/item/3655,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Karim Sawadogo",,,,,,"Mouvement Sunnite du Burkina Faso","Burkina Faso",,Male,"Abdoul Karim",Sawadogo,
3656,https://islam.zmo.de/s/westafrica/item/3656,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdul Madjid Kasogbia","Congolese Muslim speaker|Conférencier musulman congolais",,"https://www.wikidata.org/wiki/Q113627743 Q113627743",,,Preacher,"Democratic Republic of the Congo",,Male,"Abdul Madjid",Kasogbia,
3657,https://islam.zmo.de/s/westafrica/item/3657,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Rachid Anwar","Missionary of the Ahmadiyya Movement|Missionnaire du mouvement Ahmadiyya",,,,,"Communauté islamique Ahmadiyya Burkina Faso","Burkina Faso",,Male,"Abdoul Rachid",Anwar,
3658,https://islam.zmo.de/s/westafrica/item/3658,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Salam Sissako","Burkinabè Imam|Imam burkinabè",,,,,Imam,"Burkina Faso",,Male,"Abdoul Salam",Sissako,
3659,https://islam.zmo.de/s/westafrica/item/3659,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoulaye Balbone",,,,,,Journalist,"Burkina Faso",,Male,Abdoulaye,Balbone,
3660,https://islam.zmo.de/s/westafrica/item/3660,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoulaye Guitti","Burkinabè Imam|Imam burkinabè",,,,,"Association des Élèves et Étudiants Musulmans au Burkina|Cercle d'Études, de Recherches et de Formation Islamiques|Imam","Burkina Faso",,Male,Abdoulaye,Guitti,
3661,https://islam.zmo.de/s/westafrica/item/3661,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoulaye Keïta",,,,,,,"Burkina Faso",,Male,Abdoulaye,Keïta,
3662,https://islam.zmo.de/s/westafrica/item/3662,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdourahmane Guélbéogo",,,,,,Imam,"Burkina Faso",,Male,Abdourahmane,Guélbéogo,
3663,https://islam.zmo.de/s/westafrica/item/3663,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdouramane Diallo",,,,,,"Communauté islamique Ahmadiyya Burkina Faso","Burkina Faso",,Male,Abdouramane,Diallo,
3664,https://islam.zmo.de/s/westafrica/item/3664,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdrahmane Sidibé",,,,,,"Comité d'Appel à l'Islam","Burkina Faso",,Male,Abdrahmane,Sidibé,
3665,https://islam.zmo.de/s/westafrica/item/3665,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdramane Sana",,,,,"Abdou Rasmané Sana","Communauté Musulmane du Burkina Faso","Burkina Faso",,Male,Abdramane,Sana,
