o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:description,dcterms:identifier,dcterms:relation,dcterms:alternative,dcterms:isPartOf,bibo:citedBy,bibo:pages,geonames:lat,geonames:long
3253,https://islam.zmo.de/s/westafrica/item/3253,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Bassila,,"https://www.wikidata.org/wiki/Q1893077 Q1893077",,,Benin,,,9.00814,1.6654
3254,https://islam.zmo.de/s/westafrica/item/3254,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Bembèrèkè,,"https://www.wikidata.org/wiki/Q2271297 Q2271297",,,Benin,,,10.22827,2.66335
3255,https://islam.zmo.de/s/westafrica/item/3255,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10293,https://islam.zmo.de/files/original/b3ee1b5fcf24609cf2d34ea25cbd9f04752be0b0.png,Benin|Bénin,,"https://www.wikidata.org/wiki/Q962 Q962",,Dahomey,Country,,,9.5,2.25
3256,https://islam.zmo.de/s/westafrica/item/3256,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Bobo-Dioulasso,,"https://www.wikidata.org/wiki/Q223761 Q223761",,"Bobo Dioulasso","Burkina Faso",,,11.17715,-4.2979
3257,https://islam.zmo.de/s/westafrica/item/3257,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Bogandé,,"https://www.wikidata.org/wiki/Q890373 Q890373",,,"Burkina Faso",,,12.9704,-0.14953
3258,https://islam.zmo.de/s/westafrica/item/3258,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Bohicon,,"https://www.wikidata.org/wiki/Q2356092 Q2356092",,,Benin,,,7.17826,2.0667
3259,https://islam.zmo.de/s/westafrica/item/3259,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Boromo,,"https://www.wikidata.org/wiki/Q894055 Q894055",,,"Burkina Faso",,,11.75,-2.93333
3260,https://islam.zmo.de/s/westafrica/item/3260,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Boulsa,,"https://www.wikidata.org/wiki/Q895110 Q895110",,,"Burkina Faso",,,12.65,-0.567
3261,https://islam.zmo.de/s/westafrica/item/3261,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Centre culturel arabe libyen",,"https://www.wikidata.org/wiki/Q116492776 Q116492776","Libya|Muammar Gaddafi",,"Burkina Faso",,,,
3262,https://islam.zmo.de/s/westafrica/item/3262,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Centre culturel islamique AEEMB",,"https://www.wikidata.org/wiki/Q116491686 Q116491686","Association des Élèves et Étudiants Musulmans au Burkina|Ibrahima Ouédraogo|Mosquée AEEMB (Université de Ouagadougou)",,"Burkina Faso|Mosque",,,,
3263,https://islam.zmo.de/s/westafrica/item/3263,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Centre médical islamique de la Patte d'Oie",,,,,"Burkina Faso|Medical center",,,,
3264,https://islam.zmo.de/s/westafrica/item/3264,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Cocotomey,,"https://www.wikidata.org/wiki/Q109018654 Q109018654",,,Benin,,,6.38957,2.31227
3265,https://islam.zmo.de/s/westafrica/item/3265,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Comè,,"https://www.wikidata.org/wiki/Q2991511 Q2991511",,,Benin,,,6.40764,1.88198
3266,https://islam.zmo.de/s/westafrica/item/3266,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,7425,https://islam.zmo.de/files/original/bd371875c2eac53028bbd2a660f3edaa87dcb282.png,"Ivory Coast|Côte d'Ivoire",,"https://www.wikidata.org/wiki/Q1008 Q1008",,,Country,,,8,-5.5
3267,https://islam.zmo.de/s/westafrica/item/3267,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Cotonou,,"https://www.wikidata.org/wiki/Q43595 Q43595",,,Benin,,,6.36536,2.41833
3268,https://islam.zmo.de/s/westafrica/item/3268,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Cové,,"https://www.wikidata.org/wiki/Q2464735 Q2464735",,,Benin,,,7.22097,2.34017
3269,https://islam.zmo.de/s/westafrica/item/3269,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Dablo,,"https://www.wikidata.org/wiki/Q998241 Q998241",,,"Burkina Faso",,,13.71873,-1.18186
3270,https://islam.zmo.de/s/westafrica/item/3270,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Dassa-Zoumè,,"https://www.wikidata.org/wiki/Q2609335 Q2609335",,Dassa-Zoumé,Benin,,,7.696,2.278
3271,https://islam.zmo.de/s/westafrica/item/3271,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Dédougou,,"https://www.wikidata.org/wiki/Q934436 Q934436",,,"Burkina Faso",,,12.46338,-3.46075
3272,https://islam.zmo.de/s/westafrica/item/3272,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Djibo,,"https://www.wikidata.org/wiki/Q1232175 Q1232175",,,"Burkina Faso",,,14.12526,-1.6249
3273,https://islam.zmo.de/s/westafrica/item/3273,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Djougou,,"https://www.wikidata.org/wiki/Q868198 Q868198",,,Benin,,,9.70853,1.66598
3274,https://islam.zmo.de/s/westafrica/item/3274,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Dogbo-Tota,,"https://www.wikidata.org/wiki/Q2566827 Q2566827",,,Benin,,,6.79925,1.78413
3275,https://islam.zmo.de/s/westafrica/item/3275,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Dori,,"https://www.wikidata.org/wiki/Q999493 Q999493",,,"Burkina Faso",,,14.0341,-0.03261
3276,https://islam.zmo.de/s/westafrica/item/3276,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10478,https://islam.zmo.de/files/original/8edef001f229f976d29e1a71fc4869bfa24a7fe9.png,Egypt|Égypte,,"https://www.wikidata.org/wiki/Q79 Q79",,"United Arab Republic|République arabe unie",Country,,,27,30
3277,https://islam.zmo.de/s/westafrica/item/3277,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10479,https://islam.zmo.de/files/original/7434dff887fe3865388b4eea2b6b65fc8ac027a4.png,"United Arab Emirates|Émirats arabes unis",,"https://www.wikidata.org/wiki/Q878 Q878",,,Country,,,23.75,54.5
3278,https://islam.zmo.de/s/westafrica/item/3278,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10480,https://islam.zmo.de/files/original/dff696fcf9ca3a38d4baf3562adf2e3554b61c7c.png,"United States of America|États-Unis",,"https://www.wikidata.org/wiki/Q30 Q30",,USA|É-U,Country,,,39.76,-98.5
3279,https://islam.zmo.de/s/westafrica/item/3279,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Fada N'Gourma",,"https://www.wikidata.org/wiki/Q990122 Q990122",,,"Burkina Faso",,,12.06157,0.35843
3280,https://islam.zmo.de/s/westafrica/item/3280,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10481,https://islam.zmo.de/files/original/874fe1ec882537780f55a8b0137b1372b7c82d10.png,France,,"https://www.wikidata.org/wiki/Q142 Q142",,,Country,,,46,2
3281,https://islam.zmo.de/s/westafrica/item/3281,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Gaoua,,"https://www.wikidata.org/wiki/Q1011882 Q1011882",,,"Burkina Faso",,,10.38247,-3.16475
3282,https://islam.zmo.de/s/westafrica/item/3282,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10483,https://islam.zmo.de/files/original/da55e8eb683c80dfc24db00c4400737a6217a6fe.png,Ghana,,"https://www.wikidata.org/wiki/Q117 Q117",,,Country,,,8.1,-1.2
3283,https://islam.zmo.de/s/westafrica/item/3283,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Gorom-Gorom,,"https://www.wikidata.org/wiki/Q741117 Q741117",,,"Burkina Faso",,,14.45417,-0.21895
3284,https://islam.zmo.de/s/westafrica/item/3284,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Gourcy,,"https://www.wikidata.org/wiki/Q1540219 Q1540219",,,"Burkina Faso",,,13.20776,-2.35893
3285,https://islam.zmo.de/s/westafrica/item/3285,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Grand Popo",,"https://www.wikidata.org/wiki/Q1542478 Q1542478",,Grand-Popo,Benin,,,6.28333,1.83333
3286,https://islam.zmo.de/s/westafrica/item/3286,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Grande Mosquée de Ouagadougou",,"https://www.wikidata.org/wiki/Q107273736 Q107273736","Communauté Musulmane du Burkina Faso",,"Burkina Faso|Mosque",,,12.36625,-1.52122
3287,https://islam.zmo.de/s/westafrica/item/3287,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Grande mosquée de Banfora",,,,,"Burkina Faso|Mosque",,,,
3288,https://islam.zmo.de/s/westafrica/item/3288,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Grande mosquée de Bassan",,,,,"Burkina Faso|Mosque",,,,
3289,https://islam.zmo.de/s/westafrica/item/3289,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Grande mosquée de Pouytenga",,"https://www.wikidata.org/wiki/Q116491837 Q116491837",,,"Mosque|Burkina Faso",,,,
3290,https://islam.zmo.de/s/westafrica/item/3290,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Grande Mosquée Sunnite de Ouagadougou",,"https://www.wikidata.org/wiki/Q116454743 Q116454743","Mahmoud Ouédraogo|Mohammed Kindo|Mouvement Sunnite du Burkina Faso|Sayouba Ouédraogo","Mosquée de Zangouetin","Mosque|Burkina Faso",,,,
3291,https://islam.zmo.de/s/westafrica/item/3291,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10484,https://islam.zmo.de/files/original/56216972bb781a21711ac7624946e238a757e4ed.png,Guinea|Guinée,,"https://www.wikidata.org/wiki/Q1006 Q1006",,,Country,,,10.83333,-10.66667
3292,https://islam.zmo.de/s/westafrica/item/3292,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Hamdalaye,,,,,"Burkina Faso",,,,
3293,https://islam.zmo.de/s/westafrica/item/3293,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10486,https://islam.zmo.de/files/original/e3d07c2a2196f1ff4c24dfe0903a1ba9b421f5bd.png,Iraq|Irak,,"https://www.wikidata.org/wiki/Q796 Q796",,,Country,,,33,44
3294,https://islam.zmo.de/s/westafrica/item/3294,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10487,https://islam.zmo.de/files/original/8a96464270bf21e8f6633e91b653bf9563891c2b.png,Iran,,"https://www.wikidata.org/wiki/Q794 Q794",,,Country,,,32,53
3295,https://islam.zmo.de/s/westafrica/item/3295,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10489,https://islam.zmo.de/files/original/5f0b7cef0869b8dbf943f19e160a0458e3727614.png,Japan|Japon,,"https://www.wikidata.org/wiki/Q17 Q17","Maternité Sakina",,Country,,,35.68536,139.75309
3296,https://islam.zmo.de/s/westafrica/item/3296,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kandi,,"https://www.wikidata.org/wiki/Q845666 Q845666",,,Benin,,,11.13417,2.93861
3297,https://islam.zmo.de/s/westafrica/item/3297,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Karimama,,"https://www.wikidata.org/wiki/Q1860831 Q1860831",,,Benin,,,11.93816,2.75703
3298,https://islam.zmo.de/s/westafrica/item/3298,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kassoum,,"https://www.wikidata.org/wiki/Q996939 Q996939",,,"Burkina Faso",,,13.0788,-3.3024
3299,https://islam.zmo.de/s/westafrica/item/3299,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kaya,,"https://www.wikidata.org/wiki/Q766464 Q766464",,,"Burkina Faso",,,13.09167,-1.08444
3300,https://islam.zmo.de/s/westafrica/item/3300,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kérou,,"https://www.wikidata.org/wiki/Q2269207 Q2269207",,,Benin,,,10.91433,1.99153
3301,https://islam.zmo.de/s/westafrica/item/3301,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kétou,,"https://www.wikidata.org/wiki/Q2474638 Q2474638",,,Benin,,,7.45,2.626
3302,https://islam.zmo.de/s/westafrica/item/3302,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kombissiri,,"https://www.wikidata.org/wiki/Q1642022 Q1642022",,,"Burkina Faso",,,12.06884,-1.33644
3303,https://islam.zmo.de/s/westafrica/item/3303,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kompienga,,"https://www.wikidata.org/wiki/Q1142059 Q1142059",,,"Burkina Faso",,,11.41667,0.91667
3304,https://islam.zmo.de/s/westafrica/item/3304,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kongoussi,,"https://www.wikidata.org/wiki/Q163352 Q163352",,,"Burkina Faso",,,13.32583,-1.53472
3305,https://islam.zmo.de/s/westafrica/item/3305,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Kouandé,,"https://www.wikidata.org/wiki/Q2527479 Q2527479",,,Benin,,,10.42486,1.71466
3306,https://islam.zmo.de/s/westafrica/item/3306,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Koubri,,"https://www.wikidata.org/wiki/Q585121 Q585121",,,"Burkina Faso",,,12.1675,-1.35556
3307,https://islam.zmo.de/s/westafrica/item/3307,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Koudougou,,"https://www.wikidata.org/wiki/Q460697 Q460697",,,"Burkina Faso",,,12.25263,-2.36272
3308,https://islam.zmo.de/s/westafrica/item/3308,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Koupéla,,"https://www.wikidata.org/wiki/Q116524 Q116524",,,"Burkina Faso",,,12.17864,-0.35103
3309,https://islam.zmo.de/s/westafrica/item/3309,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10490,https://islam.zmo.de/files/original/b422a0f3262badff535c4ca4fdf824d92a4b20d9.png,Kuwait|Koweït,,"https://www.wikidata.org/wiki/Q817 Q817",,Koweit,Country,,,29.5,47.75
3310,https://islam.zmo.de/s/westafrica/item/3310,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Léo,,"https://www.wikidata.org/wiki/Q650951 Q650951",,,"Burkina Faso",,,11.10033,-2.10654
3311,https://islam.zmo.de/s/westafrica/item/3311,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10491,https://islam.zmo.de/files/original/313378acd7f2bc5d90d1aa05d6d1f3d9a2a32e32.png,Lebanon|Liban,,"https://www.wikidata.org/wiki/Q822 Q822",,,Country,,,33.83333,35.83333
3312,https://islam.zmo.de/s/westafrica/item/3312,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10492,https://islam.zmo.de/files/original/c8421ceb48cff187d5d15825ba03c7cb17c3b4fd.png,Libya|Libye,,"https://www.wikidata.org/wiki/Q1016 Q1016","Institut de la Langue Arabe et de la Culture Islamique",,Country,,,28,17
3313,https://islam.zmo.de/s/westafrica/item/3313,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Lokossa,,"https://www.wikidata.org/wiki/Q219058 Q219058",,,Benin,,,6.63869,1.71674
3314,https://islam.zmo.de/s/westafrica/item/3314,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Malanville,,"https://www.wikidata.org/wiki/Q2337446 Q2337446",,,Benin,,,11.86819,3.38327
3315,https://islam.zmo.de/s/westafrica/item/3315,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10493,https://islam.zmo.de/files/original/31e9cb06365136256b3f76176d4036795c23ffce.png,Mali,,"https://www.wikidata.org/wiki/Q912 Q912",,,Country,,,18,-2
3316,https://islam.zmo.de/s/westafrica/item/3316,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Manga,,"https://www.wikidata.org/wiki/Q999498 Q999498",,,"Burkina Faso",,,11.66361,-1.07306
3317,https://islam.zmo.de/s/westafrica/item/3317,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10494,https://islam.zmo.de/files/original/4c83143791ce480780d333a5c9638b2b29d82b1d.png,Morocco|Maroc,,"https://www.wikidata.org/wiki/Q1028 Q1028",,,Country,,,28.5,-10
3318,https://islam.zmo.de/s/westafrica/item/3318,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10495,https://islam.zmo.de/files/original/f7f40cb415af488fcaf249c6c328b672b1b85d9d.png,Mauritania|Mauritanie,,"https://www.wikidata.org/wiki/Q1025 Q1025",,,Country,,,20.25,-10.5
3319,https://islam.zmo.de/s/westafrica/item/3319,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Mosquée de Dioulassoba",,"https://www.wikidata.org/wiki/Q105708736 Q105708736",,"Grande mosquée de Bobo-Dioulasso","Mosque|Burkina Faso",,,,
3320,https://islam.zmo.de/s/westafrica/item/3320,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Mosquée du camp militaire Général Sangoulé Lamizana",,,,,"Mosque|Burkina Faso",,,,
3321,https://islam.zmo.de/s/westafrica/item/3321,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Mosquée Hamdalaye",,"https://www.wikidata.org/wiki/Q116491931 Q116491931",,,"Mosque|Burkina Faso",,,,
3322,https://islam.zmo.de/s/westafrica/item/3322,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Namissiguima,,"https://www.wikidata.org/wiki/Q1964339 Q1964339",,,"Burkina Faso",,,13.59468,-2.21892
3323,https://islam.zmo.de/s/westafrica/item/3323,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Nassoumbou,,"https://www.wikidata.org/wiki/Q1489963 Q1489963",,,"Burkina Faso",,,14.4089,-1.5507
3324,https://islam.zmo.de/s/westafrica/item/3324,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Natitingou,,"https://www.wikidata.org/wiki/Q994125 Q994125",,,Benin,,,10.30416,1.37962
3325,https://islam.zmo.de/s/westafrica/item/3325,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,N'Dali,,"https://www.wikidata.org/wiki/Q1115202 Q1115202",,,Benin,,,9.73027,2.45032
3326,https://islam.zmo.de/s/westafrica/item/3326,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10377,https://islam.zmo.de/files/original/8b8efe9d6c93c0a36193cee05b5347570661f71b.png,Niger,,"https://www.wikidata.org/wiki/Q1032 Q1032",,,Country,,,18,9
3327,https://islam.zmo.de/s/westafrica/item/3327,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10402,https://islam.zmo.de/files/original/612f5190f8ec756bacad90829090431dc2cda7f4.png,Nigeria|Nigéria,,"https://www.wikidata.org/wiki/Q1033 Q1033",,,Country,,,10,8
3328,https://islam.zmo.de/s/westafrica/item/3328,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Nikki,,"https://www.wikidata.org/wiki/Q2378608 Q2378608",,,Benin,,,9.94009,3.21075
3329,https://islam.zmo.de/s/westafrica/item/3329,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Nouna,,"https://www.wikidata.org/wiki/Q3344855 Q3344855",,,"Burkina Faso",,,12.74367,-3.86322
3330,https://islam.zmo.de/s/westafrica/item/3330,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Orodara,,"https://www.wikidata.org/wiki/Q143892 Q143892",,,"Burkina Faso",,,10.98568,-4.92612
3331,https://islam.zmo.de/s/westafrica/item/3331,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Ouaga 2000","Suburb of Ouagadougou|Quartier résidentiel de Ouagadougou","https://www.wikidata.org/wiki/Q1273933 Q1273933",,,"Burkina Faso",,,12.31538,-1.50888
3332,https://islam.zmo.de/s/westafrica/item/3332,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Ouagadougou,"Capital of Burkina Faso|Capitale du Burkina Faso","https://www.wikidata.org/wiki/Q3777 Q3777",,,"Burkina Faso",,,12.36566,-1.53388
3333,https://islam.zmo.de/s/westafrica/item/3333,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Ouahigouya,,"https://www.wikidata.org/wiki/Q569904 Q569904",,,"Burkina Faso",,,13.58278,-2.42158
3334,https://islam.zmo.de/s/westafrica/item/3334,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Ouidah,,"https://www.wikidata.org/wiki/Q850031 Q850031",,,Benin,,,6.36307,2.08506
3335,https://islam.zmo.de/s/westafrica/item/3335,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Parakou,,"https://www.wikidata.org/wiki/Q688324 Q688324",,,Benin,,,9.33716,2.63031
3336,https://islam.zmo.de/s/westafrica/item/3336,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Parc national de la Pendjari",,"https://www.wikidata.org/wiki/Q1474363 Q1474363",,,"Benin|National park",,,11.2482,1.59839
3337,https://islam.zmo.de/s/westafrica/item/3337,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"W National Park|Parc national du W",,"https://www.wikidata.org/wiki/Q726863 Q726863",,,"Benin|Burkina Faso|Niger|National park",,,12.07596,2.5235
3338,https://islam.zmo.de/s/westafrica/item/3338,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,"Place de la Révolution",,"https://www.wikidata.org/wiki/Q116492153 Q116492153",,"Place de la Nation","Burkina Faso",,,,
3339,https://islam.zmo.de/s/westafrica/item/3339,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Pô,,"https://www.wikidata.org/wiki/Q1756613 Q1756613",,,"Burkina Faso",,,11.16972,-1.145
3340,https://islam.zmo.de/s/westafrica/item/3340,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Pobé,,"https://www.wikidata.org/wiki/Q269353 Q269353",,Pobè,Benin,,,6.98008,2.6649
3341,https://islam.zmo.de/s/westafrica/item/3341,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Porto-Novo,,"https://www.wikidata.org/wiki/Q3799 Q3799",,,Benin,,,6.49646,2.60359
3342,https://islam.zmo.de/s/westafrica/item/3342,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Pouytenga,,"https://www.wikidata.org/wiki/Q3400815 Q3400815",,,"Burkina Faso",,,12.25162,-0.42565
3343,https://islam.zmo.de/s/westafrica/item/3343,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,10498,https://islam.zmo.de/files/original/3492ea9e781e49478e4ad46e9dd1b1cb1448cfcc.png,Qatar,,"https://www.wikidata.org/wiki/Q846 Q846",,,Country,,,25.5,51.25
3344,https://islam.zmo.de/s/westafrica/item/3344,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Ramatoulaye,,"https://www.wikidata.org/wiki/Q97368928 Q97368928",,,"Burkina Faso",,,,
3345,https://islam.zmo.de/s/westafrica/item/3345,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Sakété,,"https://www.wikidata.org/wiki/Q959156 Q959156",,,Benin,,,6.73618,2.65866
3346,https://islam.zmo.de/s/westafrica/item/3346,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Salmossi,,"https://www.wikidata.org/wiki/Q16675372 Q16675372",,,"Burkina Faso",,,14.56148,-0.07253
3347,https://islam.zmo.de/s/westafrica/item/3347,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Sanmatenga,,"https://www.wikidata.org/wiki/Q1142039 Q1142039",,,"Burkina Faso",,,13.25,-1.08333
3348,https://islam.zmo.de/s/westafrica/item/3348,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Sapouy,,"https://www.wikidata.org/wiki/Q2183729 Q2183729",,,"Burkina Faso",,,11.55444,-1.77361
3349,https://islam.zmo.de/s/westafrica/item/3349,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Savalou,,"https://www.wikidata.org/wiki/Q544623 Q544623",,,Benin,,,7.92807,1.97558
3350,https://islam.zmo.de/s/westafrica/item/3350,Location,dcterms:Location,frederick.madore@zmo.de,true,5842,,,,Savé,,"https://www.wikidata.org/wiki/Q2609291 Q2609291",,Savè,Benin,,,8.03424,2.4866
