o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:subject,dcterms:date,dcterms:rights,dcterms:abstract,dcterms:created,dcterms:extent,dcterms:medium,dcterms:spatial,bibo:citedBy,curation:coordinates
12287,https://iwac.frederickmadore.com/s/westafrica/item/12287,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12307|12308,https://iwac.frederickmadore.com/files/original/4ee72d7a27756fbd1d840e788c166ae5b976f9ec.jpg|https://iwac.frederickmadore.com/files/original/84a904f5aa556794e7aa882f1ab222b7f610fd6b.jpg,"Mosquée centrale de Bohicon","Frédérick Madore","Mosquée centrale de Bohicon",2019-04-30,,,,,,Bohicon,,
12288,https://iwac.frederickmadore.com/s/westafrica/item/12288,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12320,https://iwac.frederickmadore.com/files/original/02d0555a5399b8744fc88059f13e6c4a216ba3ec.jpg,"Mosquée Oumar Ibn Khattab en construction","Frédérick Madore","Association Culturelle des Étudiants et Élèves Musulmans du Bénin|Mosquée Oumar Ibn Khattab|University of Abomey-Calavi",2022-03-16,,,,,,Abomey-Calavi,,
12289,https://iwac.frederickmadore.com/s/westafrica/item/12289,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12312|12314,https://iwac.frederickmadore.com/files/original/739d6cbab692fd23787675e5813956d6e502f5f6.jpg|https://iwac.frederickmadore.com/files/original/746258591260bf24503b7cec03916f71d8355ea7.jpg,"Mosquée centrale de Zongo (Cotonou)","Frédérick Madore","Mosquée centrale de Zongo (Cotonou)",2019-03-15,,,,,,Cotonou,,
12290,https://iwac.frederickmadore.com/s/westafrica/item/12290,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12311,https://iwac.frederickmadore.com/files/original/c1d252c6434438cd2040d5130b3f90276d8a3981.jpg,"Mosquée centrale de Ouando (Porto-Novo)","Frédérick Madore","Mosquée centrale de Ouando",2019-04-29,,,,,,Porto-Novo,,
12291,https://iwac.frederickmadore.com/s/westafrica/item/12291,Photograph,bibo:Image,frederick_madore@outlook.com,true,2220,,12305,https://iwac.frederickmadore.com/files/original/9f09cda61d536ed970695bb675d1d2f8127fa5c3.jpg,"Grande mosquée de Niamey|Great Mosque of Niamey","Frédérick Madore",,2022-11-03,,,,,,Niamey,,
12292,https://iwac.frederickmadore.com/s/westafrica/item/12292,Photograph,bibo:Image,frederick_madore@outlook.com,true,2216,,12316|12317,https://iwac.frederickmadore.com/files/original/94189cde978e1e4d86da91aadfd08bd657d156bf.jpg|https://iwac.frederickmadore.com/files/original/c8629c63b7b51f23db8a99e77b9920ce88cb1bd6.jpg,"Mosquée de Aghien","Frédérick Madore",,2014-12-04,,,,,,"Abidjan|Côte d'Ivoire",,"5.3831329, -3.9937872"
12293,https://iwac.frederickmadore.com/s/westafrica/item/12293,Photograph,bibo:Image,frederick_madore@outlook.com,true,2216,,12302|12303,https://iwac.frederickmadore.com/files/original/f0d8e70e06bbeb1560d6051f1d146548c17ede99.jpg|https://iwac.frederickmadore.com/files/original/249223220801ff21cdd4a8c790c2fdc285f92981.jpg,"Grande Mosquée du Plateau","Frédérick Madore",,2014-11-08,,,,,,"Abidjan|Côte d'Ivoire",,"5.319372, -4.015018"
12294,https://iwac.frederickmadore.com/s/westafrica/item/12294,Photograph,bibo:Image,frederick_madore@outlook.com,true,2227,,12319|12321,https://iwac.frederickmadore.com/files/original/1be6fde4e23aeda5d6155efe87e6cda5afa458d5.jpg|https://iwac.frederickmadore.com/files/original/4264c6bd536a0a2ec1b6f5cb5e7c8c60261c2316.jpg,"Mosquée Kadhafi","Frédérick Madore","Centre Culturel Islamique (CCI) de Lomé II",2019-05-14,,,,,,Lomé|Togo,,"6.191579, 1.226693"
12295,https://iwac.frederickmadore.com/s/westafrica/item/12295,Photograph,bibo:Image,frederick_madore@outlook.com,true,2227,,12297|12298|12299,https://iwac.frederickmadore.com/files/original/e55ee040641a3b76d052661174f10a282538e8ff.jpg|https://iwac.frederickmadore.com/files/original/aa3aa1276b8474448bfb8a729a07f20b1ff8d250.jpg|https://iwac.frederickmadore.com/files/original/ef359c821f9fe13a4a8c70d346f0590ba7dd6108.jpg,"Centre islamique Abdul Aziz bin Fahad bin Abdullah Alrajhi","Frédérick Madore",,2019-05-14,,,,,,Lomé|Togo,,"6.175899, 1.206351"
12296,https://iwac.frederickmadore.com/s/westafrica/item/12296,Photograph,bibo:Image,frederick_madore@outlook.com,true,2227,,12306,https://iwac.frederickmadore.com/files/original/117b4eb718c2f1c173173fb97b063a1d2af036cb.jpg,"Maison du Hadj","Frédérick Madore","Hadj|Maison du Hadj",2019-05-16,,,,,,Lomé|Togo,,"6.182554, 1.253757"
