o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:subject,dcterms:description,dcterms:publisher,dcterms:contributor,dcterms:date,dcterms:source,dcterms:language,dcterms:rights,dcterms:extent,dcterms:medium,dcterms:isPartOf,dcterms:spatial,dcterms:rightsHolder,bibo:content,bibo:issue,bibo:volume,fabio:hasURL
10873,https://islam.zmo.de/s/westafrica/item/10873,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10985|10986|10987|10988|10989|10990|10991,https://islam.zmo.de/files/original/f1613ed2e9d540ba491482069091cc1c34f509da.jpg|https://islam.zmo.de/files/original/b60b9cf364d20074c41df81b96b9ae906b0d972e.mp4|https://islam.zmo.de/files/original/a426c13750e2c81da6bcd622be7fe30fc7b7a130.mp4|https://islam.zmo.de/files/original/2342a5eee97baad34f91a15512b8e7bce1805d6d.mp4|https://islam.zmo.de/files/original/385c9b584fd6df4d2024b80d1eac26d0ae868c9c.mp4|https://islam.zmo.de/files/original/df19b145b9e04d26403cdb934f231a2ba6250f5d.mp4|https://islam.zmo.de/files/original/ed48c05281e9b92b4d650dfb5f3b1805d6b1c9cd.mp4,"Karen Bana...","Muhammad Auwal Albani Zaria",,,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",,"Abdoulaye Sounaye",Hausa|Arabic,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT534M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,1-3,,
10874,https://islam.zmo.de/s/westafrica/item/10874,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10947|10948|10949|10950|10951|12892,https://islam.zmo.de/files/original/554e89a94c52a984c0e669dac646e6749890347f.jpg|https://islam.zmo.de/files/original/5a4b61d23ec015dcbfba08571e3e971e5402eeab.mp4|https://islam.zmo.de/files/original/acda02d0f7a46ab6d502d2993a8c710b4a019994.mp4|https://islam.zmo.de/files/original/8275cb5d19a982ed7388cb2d15ee4ccdfb264396.mp4|https://islam.zmo.de/files/original/aefad4b7e5f8f956208d5a0cdf3135c7244800a2.mp4|https://islam.zmo.de/files/original/cf41140bb97b7890b44473c964c296ff3cf04892.pdf,"In an bugi jaki... Habaa shehi!!!? Rigiji gabji","Muhammad Auwal Albani Zaria",,"This video contains a message from Sheikh Albani Zaria to the Sheikh of Tijaniyyah Dahiru Bauchi. It shows the importance and meaning of the position of Islam and the meaning of Christianity and an explanation of who they are ""Izala and their Sufs and an explanation of who the Christians are and their Sufs and an explanation of whether it is permissible for a Muslim to vote for an infidel if a Muslim is also competing.|Wannan Video ne ta Qunshi Sako Da Sheikh Albani Zaria Ya Turawa Shehin tarikan Tidjaniyyah Dahiru Bauchi. Sheikh M.A.A Albani ya tunatar da mu irin matsayin musulunci da na’anar kiristanci, da bayani akan cewa suwaye “Yan izala da suffofinsu, da bayani akan cewa suwaye kiristoci, da suffofinsu da bayani akan cewa ko ya halatta musulmi ya zabi kafiri idan harda musulmi shima yana takara.","Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",2011-04-03,"Abdoulaye Sounaye",Hausa|Arabic,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT241M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,1-3,,
10875,https://islam.zmo.de/s/westafrica/item/10875,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,11035|11036|11037|11038|11039|11040|11041,https://islam.zmo.de/files/original/0a106da3e9f5199aca88bfebed0fd919bb9a8ad0.jpg|https://islam.zmo.de/files/original/d7861bd6e3fe6f3f62b0f430f7e97b3431cb398f.mp4|https://islam.zmo.de/files/original/a22e7ecfe1ce99ddee0b554f2bdc9d6a5df17b4d.mp4|https://islam.zmo.de/files/original/e5401228bb6307ab6a3c60bddc5ba5be40b6f73f.mp4|https://islam.zmo.de/files/original/0191d556fc365c5cdacce79845306b8bd5e6d809.mp4|https://islam.zmo.de/files/original/a4637c794609b84dc1e9926927f6da12d6f7f1cf.mp4|https://islam.zmo.de/files/original/6dd82830909619e9b0ac37f3316ef0f208220359.mp4,"Adabul Mufrad #9-12","Muhammad Auwal Albani Zaria|Adabul Mufrad","Islamic theology",,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",,"Abdoulaye Sounaye",Hausa,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT250M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,9-12,,
10876,https://islam.zmo.de/s/westafrica/item/10876,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10942|11046|11047,https://islam.zmo.de/files/original/226194aa70c859f07a4c906f00cad991733147d0.jpg|https://islam.zmo.de/files/original/d8f6cf51160fc5003632105a3f33e9cdc080bb2f.mp4|https://islam.zmo.de/files/original/3e26e09b9ab6c953d3eff38fee285bb551cd7f8d.mp4,"Ilimin Hadisi","Muhammad Auwal Albani Zaria",Hadith,,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",,"Abdoulaye Sounaye",Hausa,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT86M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,,,
10877,https://islam.zmo.de/s/westafrica/item/10877,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10932|10933|10934|10935|10936,https://islam.zmo.de/files/original/b53f57bdbc3f1a6f7c5ff320ccd647cd2cbb7cfb.jpg|https://islam.zmo.de/files/original/3f1f4154cc8ed63d676566a8677533dc3cc074b8.mp4|https://islam.zmo.de/files/original/feeb1b11f59924c99dcafd09d2c3b2e245b5479b.mp4|https://islam.zmo.de/files/original/44b33fd3a374b4325c2416fd40b830cb5cd7c378.mp4|https://islam.zmo.de/files/original/f168b92b31fd803d3e4f2d3f2b6108222cb83cdc.mp4,"Hajji da Umrah (Hajji camp Yola)","Muhammad Auwal Albani Zaria",Hadj|Umrah,,"AA Rasheed Electronics ?","Aleksei Akseshin|Vincent Favier",2004,"Abdoulaye Sounaye",Hausa,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT146M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Yola|Nigeria,,,,,
10878,https://islam.zmo.de/s/westafrica/item/10878,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10943|10944,https://islam.zmo.de/files/original/1629c5f78425e9912cf7f41e89e7bc6b42476f47.jpg|https://islam.zmo.de/files/original/9d520b739dc86bccc838544b4374d007000935cf.mp4,"Illar bara da tumasanci da bambadaci da maula a musulunci (Wa'azin Zaria)","Muhammad Auwal Albani Zaria",Wa'azi,,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",,"Abdoulaye Sounaye",,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT164M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,1-4,,
10879,https://islam.zmo.de/s/westafrica/item/10879,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10928|10929,https://islam.zmo.de/files/original/be2c741ad99ff81f6815453686dc75380c0376e0.jpg|https://islam.zmo.de/files/original/63fdd6766e3abb38502a1d56fae08ea9ed3d36c6.mp4,"Hadisai 100","Muhammad Auwal Albani Zaria",Hadith,,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",,"Abdoulaye Sounaye",Hausa,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT200M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,1-2,,
10880,https://islam.zmo.de/s/westafrica/item/10880,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,11000|11001,https://islam.zmo.de/files/original/8ac44f05d840f09a1903478b98a97003510fb7ed.jpg|https://islam.zmo.de/files/original/684de08ca404b701fd646a0239a87d728da98560.mp4,"Professor Dauda Ojobi (O.O.N)","Muhammad Auwal Albani Zaria|Professor Dauda Ojobi",,,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",,"Abdoulaye Sounaye",Hausa,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT155M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,,,
10881,https://islam.zmo.de/s/westafrica/item/10881,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10963|10964|10965|10966|10967|10968|10969|10970|10971,https://islam.zmo.de/files/original/968026cef2430326a85c484ab9c3a8b7219efcac.jpg|https://islam.zmo.de/files/original/4164efe69a92d9bf1faa19c8fc4f7902d47c28c1.mp4|https://islam.zmo.de/files/original/912f53fce7e726e3cc9f0b62ab2e1f3915cea2ca.mp4|https://islam.zmo.de/files/original/52f8288536892464a712663c1b8281e81cb0440c.mp4|https://islam.zmo.de/files/original/e651eac183f7531055b8906d06cb333a7e3fdf81.mp4|https://islam.zmo.de/files/original/b11d826e2ea30660309d9b419af850679ab39c52.mp4|https://islam.zmo.de/files/original/752ebec7b526c911f49be5b2b893ff2fa81d41ca.mp4|https://islam.zmo.de/files/original/7116102eb2df67e6171c6f8100dfca23c98bfa2e.mp4|https://islam.zmo.de/files/original/ed59ff7fd7a68d2ffc88e05242863acb42fdc8ed.mp4,"Jihadin dan Fodio...","Muhammad Auwal Albani Zaria","America|Jihad|Usman dan Fodio",,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",2004,"Abdoulaye Sounaye",Hausa|Arabic,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT284M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,1-3,,
10882,https://islam.zmo.de/s/westafrica/item/10882,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10926|10927|12891,https://islam.zmo.de/files/original/eb9e37674678c0577a7891552d7ed1d15137d62c.jpg|https://islam.zmo.de/files/original/41d0327a29f2e01054a66a75edb6e2523cac1a2e.mp4|https://islam.zmo.de/files/original/48c838d4531e5f324a4520ab8ceb1513cc2a118c.pdf,"Gurbacewar Tarbiyyah","Muhammad Auwal Albani Zaria","Women in Islam","Scholars talk about what causes immorality in our societies and how to fight it, and solutions to these problems of immorality, the seminar organised by ""FOMWAN"".|Malamai sun karantar da mu abubawan da suke jawo lalacewar tarbiyya a tsakanin alummar mu da kuma hanyoyin da za’abi wajen maganinta da gwarawa don samon alumma ta tagari mai tarbiyya a wannan taron karawa juna sani da kungiyar “FOMWAN” ta shira.","Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",2008-05-25,"Abdoulaye Sounaye",Hausa|Arabic,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT186M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,1-2,,
10883,https://islam.zmo.de/s/westafrica/item/10883,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,11022|11023,https://islam.zmo.de/files/original/3e08fd8392db86269e4e9d765df7955548cda5b9.jpg|https://islam.zmo.de/files/original/5863893b191d72f4f276fb151ae104cc7029b137.mp4,"Wanene Malaminka?","Muhammad Auwal Albani Zaria|Sa'eed Aliyu Mai Kwano",Hijab,,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",,"Abdoulaye Sounaye",Hausa|Arabic,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT179M,DVD,,Zaria|Nigeria|Togo,,,,,
10884,https://islam.zmo.de/s/westafrica/item/10884,"Video recording",bibo:AudioVisualDocument,frederick.madore@zmo.de,true,10401,,10982|10983|10984,https://islam.zmo.de/files/original/97a4c3a4064975af8af7ca9985ac38a327e7d94c.jpg|https://islam.zmo.de/files/original/a6b21d22b1a1176404ecfcf6938b70ada26b7755.mp4|https://islam.zmo.de/files/original/442836af22359fda43782dc621fbc38563e39899.mp4,"Karatuttukan Karshe a Ranar da Aka Kashe Shaykh Albaniy Zaria (Dariqus-salihin 1, Muslim 172, Bukhaariy 308)","Muhammad Auwal Albani Zaria",,,"Daarul Hadeethis Salafiyyah","Aleksei Akseshin|Vincent Favier",,"Abdoulaye Sounaye",Hausa|English,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",PT198M,DVD,"Shaykh Muhammad Auwal Adam Albaniy Zaria",Zaria|Nigeria,,,1-3,,
